Date (WET),Dynamic FFR Biomass,Dynamic FFR CCGT,Dynamic FFR Coal,Dynamic FFR Distributed Generation,Dynamic FFR Hybrid,Dynamic FFR Hydro,Dynamic FFR Load Response,Dynamic FFR Pumped,Dynamic FFR Storage,Dynamic FFR Unknown,DLH Storage,Dynamic Containment Storage,EFR Storage
,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
[17/11/2019 13:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[17/11/2019 14:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[17/11/2019 14:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[17/11/2019 15:00],0.0,0.0,0.0,0.0,14.0,0.0,9.0,170.0,342.0,10.0,0.0,,201.0
[17/11/2019 15:30],0.0,0.0,0.0,0.0,14.0,0.0,9.0,170.0,342.0,10.0,0.0,,201.0
[17/11/2019 16:00],0.0,0.0,0.0,0.0,14.0,0.0,9.0,170.0,342.0,10.0,0.0,,201.0
[17/11/2019 16:30],0.0,0.0,0.0,0.0,14.0,0.0,9.0,170.0,342.0,10.0,0.0,,201.0
[17/11/2019 17:00],0.0,0.0,0.0,0.0,14.0,0.0,9.0,170.0,342.0,10.0,0.0,,151.0
[17/11/2019 17:30],0.0,0.0,0.0,0.0,14.0,0.0,9.0,170.0,342.0,10.0,0.0,,151.0
[17/11/2019 18:00],0.0,0.0,0.0,0.0,14.0,0.0,9.0,170.0,342.0,10.0,0.0,,151.0
[17/11/2019 18:30],0.0,0.0,0.0,0.0,14.0,0.0,9.0,170.0,342.0,10.0,0.0,,151.0
[17/11/2019 19:00],0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,421.0,10.0,0.0,,151.0
[17/11/2019 19:30],0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,421.0,10.0,0.0,,151.0
[17/11/2019 20:00],0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,421.0,10.0,0.0,,201.0
[17/11/2019 20:30],0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,421.0,10.0,0.0,,201.0
[17/11/2019 21:00],0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,421.0,10.0,0.0,,201.0
[17/11/2019 21:30],0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,421.0,10.0,0.0,,201.0
[17/11/2019 22:00],0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,421.0,10.0,0.0,,201.0
[17/11/2019 22:30],0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,421.0,10.0,0.0,,201.0
[17/11/2019 23:00],0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,403.0,10.0,0.0,,201.0
[17/11/2019 23:30],0.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 00:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 00:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 01:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 01:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 02:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 02:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 03:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 03:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 04:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 04:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 05:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 05:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 06:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 06:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 07:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[18/11/2019 07:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[18/11/2019 08:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[18/11/2019 08:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[18/11/2019 09:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[18/11/2019 09:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[18/11/2019 10:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[18/11/2019 10:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[18/11/2019 11:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,429.0,10.0,0.0,,201.0
[18/11/2019 11:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,429.0,10.0,0.0,,201.0
[18/11/2019 12:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[18/11/2019 12:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[18/11/2019 13:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[18/11/2019 13:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[18/11/2019 14:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[18/11/2019 14:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[18/11/2019 15:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,302.0,10.0,0.0,,201.0
[18/11/2019 15:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,302.0,10.0,0.0,,201.0
[18/11/2019 16:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,201.0
[18/11/2019 16:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,201.0
[18/11/2019 17:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[18/11/2019 17:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[18/11/2019 18:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[18/11/2019 18:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[18/11/2019 19:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,151.0
[18/11/2019 19:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,151.0
[18/11/2019 20:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[18/11/2019 20:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[18/11/2019 21:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[18/11/2019 21:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[18/11/2019 22:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[18/11/2019 22:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[18/11/2019 23:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[18/11/2019 23:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 00:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 00:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 01:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 01:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 02:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 02:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 03:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 03:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 04:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 04:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 05:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 05:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 06:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 06:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 07:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[19/11/2019 07:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[19/11/2019 08:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[19/11/2019 08:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[19/11/2019 09:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[19/11/2019 09:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[19/11/2019 10:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[19/11/2019 10:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[19/11/2019 11:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,429.0,10.0,0.0,,201.0
[19/11/2019 11:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,429.0,10.0,0.0,,201.0
[19/11/2019 12:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[19/11/2019 12:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[19/11/2019 13:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[19/11/2019 13:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[19/11/2019 14:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[19/11/2019 14:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[19/11/2019 15:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,302.0,10.0,0.0,,201.0
[19/11/2019 15:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,302.0,10.0,0.0,,201.0
[19/11/2019 16:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,201.0
[19/11/2019 16:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,201.0
[19/11/2019 17:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[19/11/2019 17:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[19/11/2019 18:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[19/11/2019 18:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[19/11/2019 19:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,151.0
[19/11/2019 19:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,151.0
[19/11/2019 20:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[19/11/2019 20:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[19/11/2019 21:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[19/11/2019 21:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[19/11/2019 22:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[19/11/2019 22:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[19/11/2019 23:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[19/11/2019 23:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 00:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 00:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 01:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 01:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 02:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 02:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 03:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 03:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 04:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 04:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 05:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 05:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 06:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 06:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 07:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[20/11/2019 07:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[20/11/2019 08:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[20/11/2019 08:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[20/11/2019 09:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[20/11/2019 09:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[20/11/2019 10:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[20/11/2019 10:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[20/11/2019 11:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,429.0,10.0,0.0,,201.0
[20/11/2019 11:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,429.0,10.0,0.0,,201.0
[20/11/2019 12:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[20/11/2019 12:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[20/11/2019 13:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[20/11/2019 13:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[20/11/2019 14:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[20/11/2019 14:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[20/11/2019 15:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,302.0,10.0,0.0,,201.0
[20/11/2019 15:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,302.0,10.0,0.0,,201.0
[20/11/2019 16:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,201.0
[20/11/2019 16:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,201.0
[20/11/2019 17:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[20/11/2019 17:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[20/11/2019 18:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[20/11/2019 18:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[20/11/2019 19:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,151.0
[20/11/2019 19:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,151.0
[20/11/2019 20:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[20/11/2019 20:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[20/11/2019 21:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[20/11/2019 21:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[20/11/2019 22:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[20/11/2019 22:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[20/11/2019 23:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[20/11/2019 23:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 00:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 00:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 01:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 01:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 02:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 02:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 03:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 03:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 04:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 04:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 05:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 05:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 06:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 06:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 07:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[21/11/2019 07:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[21/11/2019 08:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[21/11/2019 08:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[21/11/2019 09:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[21/11/2019 09:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[21/11/2019 10:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[21/11/2019 10:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,430.0,10.0,0.0,,201.0
[21/11/2019 11:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,429.0,10.0,0.0,,201.0
[21/11/2019 11:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,429.0,10.0,0.0,,201.0
[21/11/2019 12:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[21/11/2019 12:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[21/11/2019 13:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[21/11/2019 13:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[21/11/2019 14:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[21/11/2019 14:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,409.0,10.0,0.0,,201.0
[21/11/2019 15:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,302.0,10.0,0.0,,201.0
[21/11/2019 15:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,302.0,10.0,0.0,,201.0
[21/11/2019 16:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,201.0
[21/11/2019 16:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,201.0
[21/11/2019 17:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[21/11/2019 17:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[21/11/2019 18:00],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[21/11/2019 18:30],0.0,0.0,0.0,0.0,9.0,0.0,9.0,170.0,290.0,10.0,0.0,,151.0
[21/11/2019 19:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,151.0
[21/11/2019 19:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,151.0
[21/11/2019 20:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[21/11/2019 20:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[21/11/2019 21:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[21/11/2019 21:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[21/11/2019 22:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[21/11/2019 22:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,402.0,10.0,0.0,,201.0
[21/11/2019 23:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[21/11/2019 23:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[22/11/2019 00:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[22/11/2019 00:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[22/11/2019 01:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[22/11/2019 01:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[22/11/2019 02:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[22/11/2019 02:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[22/11/2019 03:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[22/11/2019 03:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[22/11/2019 04:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[22/11/2019 04:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[22/11/2019 05:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[22/11/2019 05:30],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
[22/11/2019 06:00],0.0,0.0,0.0,0.0,14.0,0.0,24.0,0.0,403.0,10.0,0.0,,201.0
